,factors_id,distance_threshold_multiplier,increment_threshold,lexicalization_noise_level,collocations_noise_level,concept_level_weights,message_id,message,concept_level_weights,threshold_per_concept,total_threshold,increment_threshold,semantic_noise,syntactic_noise,time,sentence_set,verdict,distance,length_of_sentence,depth_of_sentence,n_sub_trees,n_head_words,n_roots,n_leafs,verdict_success,verdict_one_word,verdict_failure
15,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.820,Mutod.,no more head words. failure,xxx,1,1,1,11,28,179,0,0,1
16,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.320,Mavumot that raranon which namololel.,no more head words. failure,xxx,3,3,1,11,31,226,0,0,1
17,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.550,Nudif.,no more head words. failure,xxx,1,1,1,11,24,156,0,0,1
18,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.480,Ned.,no more head words. failure,xxx,1,1,1,11,33,240,0,0,1
19,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",2,RELAP HEHES SEGIRALEH SETIR SIWENEROH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.800,Lir.,no more head words. failure,xxx,1,1,1,11,27,178,0,0,1
0,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.080,Mavateh.,no more head words. failure,xxx,1,1,1,11,30,203,0,0,1
1,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.450,Tineman.,no more head words. failure,xxx,1,1,1,11,24,146,0,0,1
2,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.870,Wulipaf.,no more head words. failure,xxx,1,1,1,11,38,274,0,0,1
3,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.990,Sevah.,no more head words. failure,xxx,1,1,1,11,30,194,0,0,1
4,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.880,Sun that laneman and raranon.,no more head words. failure,xxx,3,2,1,11,28,185,0,0,1
5,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.280,Ganemohin.,no more head words. failure,xxx,1,1,1,11,30,223,0,0,1
6,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.510,Remalom that laneman.,no more head words. failure,xxx,2,2,1,11,24,152,0,0,1
7,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.750,Daveheled.,no more head words. failure,xxx,1,1,1,11,26,174,0,0,1
8,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.640,Rogeraf.,no more head words. failure,xxx,1,1,1,11,35,254,0,0,1
9,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,1.970,Dateh that raranon which namololel.,success,1.859,3,3,1,8,17,120,1,0,0
10,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.440,Sisew.,no more head words. failure,xxx,1,1,1,11,24,145,0,0,1
11,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,1.870,Tugal that raranon which namololel.,success,1.859,3,3,1,5,17,125,1,0,0
12,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.750,Gogol.,no more head words. failure,xxx,1,1,1,11,26,174,0,0,1
13,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.150,Metel.,no more head words. failure,xxx,1,1,1,11,31,209,0,0,1
14,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.350,Ganemohin.,no more head words. failure,xxx,1,1,1,11,32,228,0,0,1
15,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.670,Dunaf that laneman.,no more head words. failure,xxx,2,2,1,11,26,166,0,0,1
16,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,0.490,Sines that namololel which laneman that raranon.,success,1.421,4,3,1,1,4,20,1,0,0
17,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.740,Rogeraf that namololel.,no more head words. failure,xxx,2,2,1,11,26,173,0,0,1
18,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.660,Punif.,no more head words. failure,xxx,1,1,1,11,26,165,0,0,1
19,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",3,JETETOR TETANONUN RETEBEM SUTANOP TOTESEH,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.520,Galom that raranon and namololel.,success,1.859,3,2,1,8,24,168,1,0,0
0,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,4.340,Per.,no more head words. failure,xxx,1,1,1,11,42,317,0,0,1
1,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,4.430,Wulipaf.,no more head words. failure,xxx,1,1,1,11,43,325,0,0,1
2,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,4.370,Jeteter.,no more head words. failure,xxx,1,1,1,11,43,319,0,0,1
3,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.570,Toferames.,no more head words. failure,xxx,1,1,1,11,34,248,0,0,1
4,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.850,Setum.,no more head words. failure,xxx,1,1,1,11,28,182,0,0,1
5,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.350,Hejugat.,no more head words. failure,xxx,1,1,1,11,33,227,0,0,1
6,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.290,Tem.,no more head words. failure,xxx,1,1,1,11,22,132,0,0,1
7,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.950,Nepop that lup.,no more head words. failure,xxx,2,2,1,11,37,283,0,0,1
8,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.050,Towot.,no more head words. failure,xxx,1,1,1,11,30,200,0,0,1
9,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.230,Soterades that lup.,no more head words. failure,xxx,2,2,1,11,30,218,0,0,1
10,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.970,Raranon.,no more head words. failure,xxx,1,1,1,11,29,193,0,0,1
11,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.990,Towot.,no more head words. failure,xxx,1,1,1,11,29,195,0,0,1
12,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,2.920,Len.,no more head words. failure,xxx,1,1,1,11,28,189,0,0,1
13,0,0.4,0.4,1,1,"[1, 1, 1, 1, 1]",4,RELAP HEHES SANAT LENAR HAGIW,"[1, 1, 1, 1, 1]",0.40,2.00,0.4,1.000,1.000,3.520,Dunaf.,no more head words. failure,xxx,1,1,1,11,36,241,0,0,1
